,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
1273,0,69,10,1,F2,5,2,ZZ.00.069,3.0,J1,31,0.28634308040531964,67.14982191101755,19.771227005894872,-8.46547796153213,416.50600389212383,416.5920253621078,1.5911185129360508,132
1154,0,70,10,1,B5,1,5,ZZ.00.070,3.0,J1,18,0.29043369583968137,67.06838383750177,20.045744920694027,-10.11438079829024,416.4692244288529,416.5920253621078,1.5950775758875737,132
1177,0,71,10,1,C4,2,4,ZZ.00.071,3.0,J1,22,0.2945243112740431,66.98582350125461,20.31992740781236,-11.763125100635724,416.42591716074764,416.5920253621078,1.5990366388390966,132
1200,0,72,10,1,D3,3,3,ZZ.00.072,3.0,J1,26,0.2986149267084048,66.90214228376738,20.593769879323798,-13.41168502588827,416.3760827666131,416.5920253621078,1.6029957017906196,132
1229,0,73,10,1,E8,4,8,ZZ.00.073,3.0,J1,0,0.3027055421427665,66.8173415852872,20.867267752991786,-15.060034734257519,416.3197220275614,416.59202536210773,1.6069547647421425,132
1252,0,74,10,1,F7,5,7,ZZ.00.074,3.0,J1,4,0.3067961575771282,66.73142282479357,21.140416452345963,-16.708148389248088,416.25683582699986,416.5920253621078,1.6109138276936654,132
1153,0,75,10,1,B4,1,4,ZZ.00.075,3.0,J1,25,0.3108867730114899,66.6443874399747,21.41321140675874,-18.356000158064525,416.1874251506167,416.5920253621078,1.6148728906451884,132
1176,0,76,10,1,C3,2,3,ZZ.00.076,3.0,J1,29,0.31497738844585166,66.55623688720335,21.685648051521788,-20.00356421201624,416.11149108636596,416.5920253621078,1.6188319535967113,132
1205,0,77,10,1,D8,3,8,ZZ.00.077,3.0,J1,3,0.31906800388021334,66.46697264151257,21.957721827922402,-21.650814726922306,416.02903482445015,416.59202536210785,1.6227910165482342,132
1228,0,78,10,1,E7,4,7,ZZ.00.078,3.0,J1,7,0.32315861931457507,66.37659619657087,22.229428183319804,-23.297725883516282,415.94005765730185,416.5920253621078,1.6267500794997571,132
1251,0,79,10,1,F6,5,6,ZZ.00.079,3.0,J1,11,0.32724923474893675,66.2851090646574,22.50076257122131,-24.94427186785087,415.84456097956337,416.5920253621078,1.63070914245128,132
1411,0,80,12,1,B6,1,6,ZZ.00.080,2.0,J1,15,0.3313398501832985,66.19251277663649,22.771720451358405,-26.590426871702537,415.7425462880648,416.59202536210773,1.634668205402803,132
1434,0,81,12,1,C5,2,5,ZZ.00.081,2.0,J1,19,0.33543046561766016,66.09880888193216,23.042297289762722,-28.236165092976048,415.6340151818006,416.59202536210773,1.638627268354326,132
1457,0,82,12,1,D4,3,4,ZZ.00.082,2.0,J1,23,0.3395210810520219,66.00399894850209,23.312488558841913,-29.88146073610889,415.5189693619046,416.5920253621078,1.6425863313058489,132
1480,0,83,12,1,E3,4,3,ZZ.00.083,2.0,J1,27,0.3436116964863836,65.90808456281145,23.582289737455405,-31.52628801247557,415.39741063162336,416.5920253621078,1.6465453942573718,132
1509,0,84,12,1,F8,5,8,ZZ.00.084,2.0,J1,1,0.3477023119207453,65.81106732980635,23.851696310990032,-33.17062114079187,415.2693408962876,416.5920253621078,1.6505044572088947,132
